user_id,stock_id,stock_price
U000000001,NFLX,500.0
U000000001,UBER,45.0
U000000001,ADBE,510.0
U000000002,AAPL,150.5
U000000002,MSFT,299.99
U000000002,ORCL,90.0
U000000003,ORCL,90.0
U000000003,AMD,105.0
U000000003,META,340.0
U000000003,MSFT,299.99
U000000004,ADBE,510.0
U000000004,PYPL,190.0
U000000004,UBER,45.0
U000000004,INTC,55.0
U000000005,NVDA,800.0
U000000005,AMD,105.0
U000000005,AMZN,3400.0
U000000006,AMZN,3400.0
U000000006,NVDA,800.0
U000000006,AAPL,150.5
U000000006,ADBE,510.0
U000000007,ADBE,510.0
U000000007,TSLA,750.0
U000000007,SAP,130.0
U000000008,AMD,105.0
U000000008,MSFT,299.99
U000000008,AAPL,150.5
U000000008,INTC,55.0
U000000008,AMZN,3400.0
U000000008,UBER,45.0
U000000009,SONY,115.0
U000000009,UBER,45.0
U000000009,INTC,55.0
U000000010,LYFT,25.0
U000000010,NVDA,800.0
U000000010,IBM,135.0
U000000010,SAP,130.0
U000000011,META,340.0
U000000011,SONY,115.0
U000000011,ORCL,90.0
U000000011,AMD,105.0
U000000011,GOOG,2800.0
U000000011,ADBE,510.0
U000000012,PYPL,190.0
U000000012,INTC,55.0
U000000012,SAP,130.0
U000000012,NVDA,800.0
U000000012,GOOG,2800.0
U000000012,ORCL,90.0
U000000013,IBM,135.0
U000000013,SONY,115.0
U000000013,NFLX,500.0
U000000013,BABA,220.0
U000000013,MSFT,299.99
U000000013,GOOG,2800.0
U000000014,ADBE,510.0
U000000014,TSLA,750.0
U000000014,IBM,135.0
U000000014,SONY,115.0
U000000014,MSFT,299.99
U000000015,MSFT,299.99
U000000015,SAP,130.0
U000000015,GOOG,2800.0
U000000016,NVDA,800.0
U000000016,SONY,115.0
U000000016,ADBE,510.0
U000000017,IBM,135.0
U000000017,SAP,130.0
U000000017,LYFT,25.0
U000000018,ADBE,510.0
U000000018,AMZN,3400.0
U000000018,GOOG,2800.0
U000000018,BABA,220.0
U000000018,META,340.0
U000000018,MSFT,299.99
U000000019,IBM,135.0
U000000019,NVDA,800.0
U000000019,ORCL,90.0
U000000019,INTC,55.0
U000000019,SONY,115.0
U000000020,UBER,45.0
U000000020,LYFT,25.0
U000000020,GOOG,2800.0
U000000020,INTC,55.0
U000000020,AAPL,150.5
U000000021,AMZN,3400.0
U000000021,META,340.0
U000000021,BABA,220.0
U000000021,PYPL,190.0
U000000022,PYPL,190.0
U000000022,NFLX,500.0
U000000022,SONY,115.0
U000000022,MSFT,299.99
U000000023,SONY,115.0
U000000023,ADBE,510.0
U000000023,TSLA,750.0
U000000024,ADBE,510.0
U000000024,UBER,45.0
U000000024,IBM,135.0
U000000025,LYFT,25.0
U000000025,BABA,220.0
U000000025,AMD,105.0
U000000025,TSLA,750.0
U000000025,GOOG,2800.0
U000000026,BABA,220.0
U000000026,PYPL,190.0
U000000026,ORCL,90.0
U000000026,SAP,130.0
U000000026,META,340.0
U000000027,AAPL,150.5
U000000027,META,340.0
U000000027,ORCL,90.0
U000000027,MSFT,299.99
U000000028,MSFT,299.99
U000000028,AMZN,3400.0
U000000028,SAP,130.0
U000000028,NFLX,500.0
U000000028,NVDA,800.0
U000000028,IBM,135.0
U000000029,GOOG,2800.0
U000000029,META,340.0
U000000029,BABA,220.0
U000000029,SAP,130.0
U000000029,INTC,55.0
U000000030,NFLX,500.0
U000000030,AMZN,3400.0
U000000030,ADBE,510.0
U000000030,SONY,115.0
U000000030,LYFT,25.0
